Timestamp,Session_ID,Group_ID,Winning_Door,Initial_Door,Alt_Door,Final_Door,Is_Switched,Is_Win,Reading_Time_MS
27.08.2026 23:02:28,c1ac564c-c385-4ad0-80eb-c87820b5e280,Group_A,3,1,3,3,1,1,2241
27.08.2026 23:08:10,2f4ecebf-ff67-4352-a8d2-aa5c7d651b97,Group_A,6,5,6,5,0,0,2341
27.08.2026 23:08:37,03ef1921-6410-4f1d-8317-c80a75cef6d5,Group_B,3,2,3,3,1,1,8624
28.08.2026 0:33:14,f9bff59e-f870-4b17-9dde-36ac77c6bac1,Group_D,3,2,3,3,1,1,10734
28.08.2026 0:36:30,9e68f36e-4caa-45f6-a730-5b6b46868247,Group_B,6,3,6,6,1,1,1164
28.08.2026 0:36:31,8d02a7e1-e07c-41d3-8901-4f1d449935c6,Group_B,2,2,7,7,1,0,946
28.08.2026 0:36:35,001d63a1-684e-4fcc-956d-5bca2728580d,Group_D,4,3,4,4,1,1,1631
28.08.2026 0:36:35,3fc6be76-92a2-4245-83bd-0558b08466ee,Group_A,3,1,3,3,1,1,3708
28.08.2026 0:36:42,983d752b-9815-4c15-8774-3842ac0b3bdd,Group_A,5,4,5,5,1,1,4857
28.08.2026 0:36:43,669a328a-5334-4413-84a3-6a5999608308,Group_A,5,7,5,5,1,1,3368
28.08.2026 0:36:43,dcc69690-fa11-49f1-9ec9-67b408750569,Group_B,5,10,5,5,1,1,2460
28.08.2026 0:36:43,f4ea988e-ec2d-4c8d-9ad4-01e2132eb7e6,Group_A,6,7,6,6,1,1,6609
28.08.2026 0:36:44,9d30383c-30c1-480b-b1c6-74a708971977,Group_D,10,9,10,10,1,1,3602
28.08.2026 0:36:48,458f4577-b98f-4a27-bb1a-58ef4ef37c8a,Group_B,8,4,8,4,0,0,15390
28.08.2026 0:36:48,0fa6b67b-ed60-4a42-812f-71667ef80ad9,Group_D,9,5,9,9,1,1,2928
28.08.2026 0:36:49,09e3bf47-f703-4e0a-9861-25ff8421865b,Group_D,7,7,5,5,1,0,11097
28.08.2026 0:36:50,548c9082-c8a5-4da7-88ec-72ccb3528355,Group_B,2,3,2,3,0,0,5379
28.08.2026 0:36:53,b7aab4e9-b95d-455e-9e8f-8e5929c2b6f7,Group_A,10,2,10,10,1,1,6527
28.08.2026 0:36:53,4bb315c9-2e4a-4758-bdcc-6da16a9f744b,Group_A,9,3,9,9,1,1,5104
28.08.2026 0:36:54,25cc7668-0d09-412d-a8b8-08520fa43e47,Group_D,4,10,4,4,1,1,11488
28.08.2026 0:36:54,78528ea8-6ba8-43e2-81d0-20847bdda466,Group_D,2,2,6,6,1,0,13673
28.08.2026 0:36:57,6ab1a43f-af0f-4304-a1ed-9b272fcd2dd3,Group_A,7,1,7,7,1,1,1353
28.08.2026 0:36:58,1005b89d-8ba1-4104-9d1d-e6528ff2539d,Group_C,7,8,7,7,1,1,3408
28.08.2026 0:36:59,cbe35880-6cf2-4eba-9e59-68c47f6e8f5e,Group_A,3,1,3,3,1,1,1840
28.08.2026 0:36:59,4d068b48-4c81-429d-9268-35341a5a6cfa,Group_C,7,6,7,7,1,1,3379
28.08.2026 0:37:00,729e808f-7a70-4a40-b596-e13a89b44f94,Group_A,7,3,7,7,1,1,11876
28.08.2026 0:37:00,2f3a5476-6028-49c0-ad2f-b26a9cafbba2,Group_C,3,10,3,3,1,1,9206
28.08.2026 0:37:01,48217259-c351-4a7f-aaec-b0879b795b74,Group_D,9,2,9,9,1,1,4140
28.08.2026 0:37:02,3c0b8d81-0cac-4805-a849-f4bc275c15dd,Group_D,4,4,2,2,1,0,7623
28.08.2026 0:37:03,aba32dfd-e589-4801-91df-25b71fc4a118,Group_C,5,1,5,5,1,1,1656
28.08.2026 0:37:06,f5eafa1a-859f-4203-a493-8a6a97aaf68f,Group_D,1,7,1,1,1,1,12101
28.08.2026 0:37:08,41812e0b-a515-4644-a44e-aed629afa8a1,Group_D,5,8,5,5,1,1,18262
28.08.2026 0:37:10,60992caf-0605-4b4a-8e58-0792f7efedb5,Group_C,9,9,6,6,1,0,3963
28.08.2026 0:37:11,64ef93ac-a7f0-4a7f-b21d-ff600613053d,Group_A,5,1,5,5,1,1,4532
28.08.2026 0:37:13,683accdc-1239-40ec-b8b8-378be956ed25,Group_B,8,1,8,8,1,1,3783
28.08.2026 0:37:14,c92416be-66cc-4045-aab0-39c4edb052e9,Group_B,4,3,4,4,1,1,9076
28.08.2026 0:37:15,19fff3ec-e735-4e8f-937b-112e61772318,Group_B,8,2,8,2,0,0,3432
28.08.2026 0:37:17,028730e7-a846-4744-939b-7dceb8437309,Group_A,10,8,10,10,1,1,6087
28.08.2026 0:37:16,baaea702-7178-49ab-a85c-f16cd9825501,Group_B,2,10,2,2,1,1,10003
28.08.2026 0:37:20,2f4be5dc-6422-46d9-8f65-45aaeb275586,Group_C,8,9,8,8,1,1,5680
28.08.2026 0:37:21,7fa7dc67-6723-47f4-b192-114dc2b3b555,Group_C,6,3,6,6,1,1,10794
28.08.2026 0:37:25,511b1994-ce86-450e-9438-960d663fd0ac,Group_B,1,2,1,2,0,0,1391
28.08.2026 0:37:26,6274e40f-2136-4dcc-8ac7-bfbd0df89162,Group_D,9,4,9,9,1,1,6390
28.08.2026 0:37:27,670cdc65-2424-4359-aa78-6f172bfcf1fa,Group_C,3,5,3,3,1,1,11313
28.08.2026 0:37:27,ac4be101-482c-43be-aad3-80911c3addc5,Group_D,7,3,7,7,1,1,2506
28.08.2026 0:37:29,aa27c629-b8fe-41b0-b76b-ed79d7983e05,Group_B,3,7,3,7,0,0,5910
28.08.2026 0:37:29,3b91f71b-fd5c-491e-97e3-15e41bd04ac2,Group_A,3,2,3,3,1,1,4750
28.08.2026 0:37:30,4bf57cc5-04aa-4c52-9d4c-fe1e2ab8fa83,Group_B,7,8,7,7,1,1,11147
28.08.2026 0:37:33,feb8a395-ebed-4d91-82ba-53626f0832fb,Group_C,10,1,10,10,1,1,3734
28.08.2026 0:37:34,ed1fbb2c-d7c5-407b-9ab2-3cc203eab739,Group_B,4,2,4,4,1,1,14293
28.08.2026 0:37:36,76712fa7-190b-40b7-ab40-7eccc1fe9598,Group_A,1,4,1,1,1,1,6738
28.08.2026 0:37:42,cac24c1a-d815-41ac-b4b6-2677e2fedce9,Group_D,4,8,4,4,1,1,26672
28.08.2026 0:37:42,7f1c0116-73af-40c9-987d-5c3a1ebbbd80,Group_D,2,2,9,9,1,0,10464
28.08.2026 0:37:43,67aeda06-956b-4427-81d2-73e26cda6ba4,Group_D,6,7,6,7,0,0,24385
28.08.2026 0:37:44,e685fe14-7074-4597-ab9a-360d41ff3f8b,Group_D,10,7,10,10,1,1,4818
28.08.2026 0:37:44,76e9da81-98a2-4557-8756-205c346f2aea,Group_D,6,1,6,6,1,1,7135
28.08.2026 0:37:45,3535f1e8-4b60-41e7-b383-011e3bc439b7,Group_D,6,1,6,1,0,0,7911
28.08.2026 0:37:45,73915b10-4293-478d-b098-2d6fbe5b404a,Group_B,7,7,6,7,0,1,13894
28.08.2026 0:37:45,37204fdd-dc91-4100-8b7b-6c2ff711ad0b,Group_D,9,7,9,9,1,1,11840
28.08.2026 0:37:47,c4d72bcf-f584-48f4-9479-6626b2650817,Group_C,9,1,9,9,1,1,6006
28.08.2026 0:37:50,fa00d59e-6a64-44ae-b943-90ce2402321b,Group_C,5,2,5,5,1,1,2724
28.08.2026 0:37:54,c8bad865-61c2-4c1a-8a69-d147ffda42d3,Group_D,7,3,7,7,1,1,12694
28.08.2026 0:37:54,51967f60-0467-4b26-b552-99453a170412,Group_B,10,3,10,3,0,0,43744
28.08.2026 0:37:55,6ed1c30c-2df7-445c-993a-22f476ca7d39,Group_A,7,3,7,7,1,1,18283
28.08.2026 0:37:56,5335564d-5413-4958-9850-87e5d961df9a,Group_B,2,8,2,8,0,0,17771
28.08.2026 0:37:58,9b64f686-3f25-44b1-824b-38fe17d503c6,Group_C,8,9,8,8,1,1,4427
28.08.2026 0:37:58,3c1371e0-4b17-49ea-b0a5-db5812205131,Group_B,2,1,2,2,1,1,200
28.08.2026 0:37:59,59baa612-1bb6-4373-9af9-5db240d6f8dd,Group_B,4,3,4,4,1,1,1766
28.08.2026 0:38:01,e9a31088-0fb6-4a89-97ed-1f9f7a969625,Group_B,10,8,10,10,1,1,11903
28.08.2026 0:38:01,dcefb234-d139-4653-923d-ab90d9892b19,Group_B,8,1,8,8,1,1,13970
28.08.2026 0:38:01,c7d6fe94-cab8-4934-935a-3751eaa2fca4,Group_A,4,7,4,7,0,0,6515
28.08.2026 0:38:03,8eb9d9a2-954d-441f-8bc6-ba5f544a5c8b,Group_B,8,3,8,3,0,0,4334
28.08.2026 0:38:06,3515cf4e-5581-4083-83ea-394d3aadb338,Group_D,9,9,8,8,1,0,13634
28.08.2026 0:38:07,60bc457c-6a77-40b7-b1f2-fea83c1f1b1d,Group_C,10,1,10,10,1,1,6520
28.08.2026 0:38:08,871b1dbf-fac0-48aa-bb7d-7a78c91ddc24,Group_A,6,3,6,6,1,1,2380
28.08.2026 0:38:08,5d0a5a27-ba23-4e72-a1db-50b0885d27c0,Group_A,8,3,8,8,1,1,2943
